Name,Alignment,Deified As:,Celestial Bureau,Death Described?,Different from Shu Edition?,"Deified in-story, but missing in Chapter 99?","Listed in Chapter 99, Absent from story?"
Bai Jian (°Ø¼ø),Unaligned,Qingfu God,Qingfu God,TRUE,FALSE,FALSE,FALSE
Huang Tianhua (»ÆÌì»¯),Chan,Prince Bingling of the Three Sacred Mountains,Three Mountains and Five Mounts,TRUE,FALSE,FALSE,FALSE
Huang Feihu (»Æ·É»¢),Zhou,God of East Mount,Three Mountains and Five Mounts,TRUE,FALSE,FALSE,FALSE
Chong Heihu (³çºÚ»¢),Ex-Jie,God of South Mount,Three Mountains and Five Mounts,TRUE,FALSE,FALSE,FALSE
Wen Pin (ÎÅÆ¸),Zhou,God of Central Mount,Three Mountains and Five Mounts,TRUE,FALSE,FALSE,FALSE
Cui Ying (´ÞÓ¢),Zhou,God of North Mount,Three Mountains and Five Mounts,TRUE,FALSE,FALSE,FALSE
Jiang Xiong (½¯ÐÛ),Zhou,God of West Mount,Three Mountains and Five Mounts,TRUE,FALSE,FALSE,FALSE
Wen Zhong (ÎÅÖÙ),Jie,Heavenly Venerable of the Nine Heavenly Thunders,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Deng Zhong (µËÖÒ),Shang,Celestial Lord Deng,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Xin Huan (ÐÁ»·),Shang,Celestial Lord Xin,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Zhang Jie (ÕÅ½Ú),Shang,Celestial Lord Zhang,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Tao Rong (ÌÕÈÙ),Shang,Celestial Lord Tao,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Pang Hong (ÅÓºé),Shang,Celestial Lord Pang,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Liu Fu (Áõ¸¦),Shang,Celestial Lord Liu,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Gou Zhang (¹¶ÕÂ),Shang,Celestial Lord Gou,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Bi Huan (±Ï»·),Shang,Celestial Lord Bi,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Qin Wan (ÇØÍê),Jie,Celestial Lord Qin,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Zhao Jiang (ÕÔ½­),Jie,Celestial Lord Zhao,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Dong Quan (¶­È«),Jie,Celestial Lord Dong,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Yuan Jiao (Ô¬½Ç),Jie,Celestial Lord Yuan,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Li De (ÀîµÂ),10k Formation,Celestial Lord Li,Thunder Bureau ,FALSE,FALSE,FALSE,TRUE
Sun Liang (ËïÁ¼),Jie,Celestial Lord Sun,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Bai Li (°ØÀñ),Jie,Celestial Lord Bai,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Wang Bian (Íõ±ä),Jie,Celestial Lord Wang,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Yao Bin (Ò¦±ö),Jie,Celestial Lord Yao,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Zhang Shao (ÕÅÉÜ),Jie,Celestial Lord Zhang,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Huang Geng (»Æ¸ý),10k Formation,Celestial Lord Huang,Thunder Bureau ,FALSE,FALSE,FALSE,TRUE
Jin Su (½ðËØ),10k Formation,Celestial Lord Jin,Thunder Bureau ,FALSE,FALSE,FALSE,TRUE
Ji Li (¼ªÁ¢),Jie,Celestial Lord Ji,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Yu Qing (ÓàÇì),Jie,Celestial Lord Yu,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Mother of Golden Light (½ð¹âÊ¥Ä¸),Jie,Lighting God,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Celestial Lotus Immortal (ÝÕÖ¥ÏÉ),Jie,Wind Assisting God,Thunder Bureau ,TRUE,FALSE,FALSE,FALSE
Luo Xuan (ÂÞÐû),Jie,Star Lord of Fiery Virtues,Fire Bureau,TRUE,FALSE,FALSE,FALSE
Zhu Zhao (ÖìÕÐ),Jie,Fire Tiger Mansion,Fire Bureau (Lunar Mansion),TRUE,FALSE,FALSE,FALSE
Gao Zhen (¸ßÕð),Jie,Fire Pig Mansion,Fire Bureau (Lunar Mansion),TRUE,FALSE,FALSE,FALSE
Fang Gui (·½¹ó),Jie,Fire Monkey Mansion,Fire Bureau (Lunar Mansion),TRUE,FALSE,FALSE,FALSE
Wang Jiao (ÍõòÔ),Jie,Fire Snake Mansion,Fire Bureau (Lunar Mansion),TRUE,FALSE,FALSE,FALSE
Liu Huan (Áõ»·),Jie,Fire-Fetching Celestial Lord,Fire Bureau (Lunar Mansion),TRUE,FALSE,FALSE,FALSE
L¨¹ Yue (ÂÀÔÀ),Jie,Plague Emperor Haotian,Plague Bureau,TRUE,FALSE,FALSE,FALSE
Zhou Xin (ÖÜÐÅ),Jie,Plague Emissary of the East,Plague Bureau,TRUE,FALSE,FALSE,FALSE
Li Qi (ÀîÆæ),Jie,Plague Emissary of the South,Plague Bureau,TRUE,FALSE,FALSE,FALSE
Zhu Tianlin (ÖìÌì÷ë),Jie,Plague Emissary of the West,Plague Bureau,TRUE,FALSE,FALSE,FALSE
Yang Wenhui (ÑîÎÄ»Ô),Jie,Plague Emissary of the North,Plague Bureau,TRUE,FALSE,FALSE,FALSE
Chen Geng (³Â¸ý),Jie,Master of Benevolence,Plague Bureau,TRUE,FALSE,FALSE,FALSE
Li Ping (ÀîÆ½),Jie,Daoist of Plague Pacification,Plague Bureau,TRUE,TRUE,FALSE,FALSE
Mother of Golden Spirit (½ðÁéÊ¥Ä¸),Jie,Dipper Mother,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Boyi Kao (²®ÒØ¿¼),King Zhou Victim,Emperor Ziwei of the Central Sky and North Pole,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Su Hu (ËÕ»¤),Zhou,East Dipper Official,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Jin Kui (½ð¿ü),Shang,East Dipper Official,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Ji Shuming (¼§ÊåÃ÷),Zhou,East Dipper Official,Dipper Mansion,TRUE,TRUE,FALSE,FALSE
Zhao Bing (ÕÔ±û),Zhou,East Dipper Official,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Huang Tianlu (»ÆÌìÂ»),Zhou,West Dipper Official,Dipper Mansion,FALSE,FALSE,FALSE,FALSE
Long Huan (Áú»·),Zhou,West Dipper Official,Dipper Mansion,FALSE,FALSE,FALSE,FALSE
Sun Ziyu (Ëï×ÓÓð),Zhou,West Dipper Official,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Hu Sheng (ºú•N),Shang,West Dipper Official,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Hu Yunpeng (ºúÔÆÅô),Shang,West Dipper Official,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Lu Renjie (Â³ÈÊ½Ü),Shang,Central Dipper Official,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Chao Lei (êËÀ×),Zhou,Central Dipper Official,Dipper Mansion,FALSE,FALSE,FALSE,FALSE
Ji Shusheng (¼§Êå•N),Zhou,Central Dipper Official,Dipper Mansion,TRUE,TRUE,FALSE,FALSE
Zhou Ji (ÖÜ¼Í),Zhou,Southern Dipper Official,Dipper Mansion,FALSE,FALSE,FALSE,FALSE
Hu Lei (ºúÀ×),Jie,Southern Dipper Official,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Gao Gui (¸ß¹ó),Shang,Southern Dipper Official,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Yu Cheng (Óà³É),Shang,Southern Dipper Official,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Sun Bao (Ëï±¦),Shang,Southern Dipper Official,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Lei Kun (À×ûd),Shang,Southern Dipper Official,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Huang Tianxiang (»ÆÌìÏé),Zhou,North Dipper - Tiangang,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Bi Gan (±È¸É),King Zhou Victim,North Dipper - Wenqu,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Dou Rong (ñ¼ÈÙ),Shang,North Dipper - Wuqu,Dipper Mansion,TRUE,TRUE,FALSE,FALSE
Han Sheng (º«•N),Jie,North Dipper - Zuofu,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Han Bian (º«±ä),Jie,North Dipper - Youbi,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Su Quanzhong (ËÕÈ«ÖÒ),Zhou,North Dipper - Pojun,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
E Shun (¶õË³),Zhou,North Dipper - Tanlang,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Guo Chen (¹ùå·),Shang,North Dipper - Jumen,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Dong Zhong (¶­ÖÒ),Shang,North Dipper - Zhaoyao,Dipper Mansion,TRUE,FALSE,FALSE,FALSE
Deng Jiugong (µË¾Å¹«),Zhou,Qinglong Star,Stellar Gods,TRUE,FALSE,FALSE,FALSE
Yin Chengxiu (Òó³ÉÐã),shang,Baihu Star,Stellar Gods,TRUE,FALSE,FALSE,FALSE
Ma Fang (Âí·½),Shang,Zhuque Star,Stellar Gods,TRUE,FALSE,FALSE,FALSE
Xu Kun (ÐìÀ¤),Shang,Xuanwu Star,Stellar Gods,TRUE,FALSE,FALSE,FALSE
Lei Peng (À×Åô),Shang,Gouchen Star,Stellar Gods,TRUE,TRUE,FALSE,FALSE
Zhang Shan (ÕÅÉ½),Shang,Tengshe Star,Stellar Gods,TRUE,FALSE,FALSE,FALSE
Xu Gai (Ðì¸Ç),Zhou,Taiyang Star,Stellar Gods,FALSE,FALSE,FALSE,FALSE
Queen Jiang (½ªÊÏæûºó),King Zhou Victim,Taiyin Star,Stellar Gods,TRUE,FALSE,FALSE,FALSE
